ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,trang_thai_xep_hang,loai_y_kien,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
21/09/2026,Công ty TNHH KN Cam Ranh,Bất động sản,XHTN Lần đầu,XHTN Công cụ nợ,A,Ổn định,KNCL12603,https://cms.fiinratings.vn//UploadFile/21-09-2026/%5BVI%5D_FiinRatings_KN_Cam_Ranh_Bond_Rating_KNCL12063_092026_signed.pdf,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-kn-caa-ranh-id10910.html,10910,FiinRatings,2026-09-25 14:05:53,2026-09-21
27/08/2026,Công ty TNHH KN Cam Ranh,Bất động sản,XHTN Lần đầu,XHTN Công cụ nợ,A,Ổn định,KNCL12602,https://cms.fiinratings.vn//UploadFile/27-08-2026/%5BVI%5D_FiinRatings_KNCamRanh_Bond_KNCL12602_signed_02.pdf,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-kn-caa-ranh-id10910.html,10910,FiinRatings,2026-09-25 14:05:53,2026-08-27
25/08/2026,Công ty Cổ phần Chứng khoán APG,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB-,Không thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-apg-id2770.html,2770,FiinRatings,2026-09-25 14:05:53,2026-08-25
24/08/2026,Công ty TNHH KN Cam Ranh,Bất động sản,XHTN Lần đầu,XHTN Công cụ nợ,AA+,Ổn định,KNCL12601,https://cms.fiinratings.vn//UploadFile/24-08-2026/%5BVI%5D_FiinRatings_KNCL12601_Bond_Rating_082026.pdf,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-kn-caa-ranh-id10910.html,10910,FiinRatings,2026-09-25 14:05:53,2026-08-24
17/08/2026,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,Bất động sản,XHTN Lần đầu,XHTN Công cụ nợ,A-,Ổn định,KBCL12601,https://cms.fiinratings.vn//UploadFile/17-08-2026/VN_FR_KBC_Bond_Rating_Report_Aug2026_Scanned.pdf,https://cms.fiinratings.vn//UploadFile/17-08-2026/EN_FR_KBC_Bond_Rating_Report_Aug2026_Scanned.pdf,https://fiinratings.vn/vi/ratings-fr/tong-cong-ty-phat-trien-do-thi-kinh-bac---ctcp-id3347.html,3347,FiinRatings,2026-09-25 14:05:53,2026-08-17
21/07/2026,Công ty Cổ Phần Nhựa Hoa Sen,Nhựa,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nhua-hoa-sen-id1057.html,1057,FiinRatings,2026-09-25 14:05:53,2026-07-21
20/07/2026,Công ty Cổ phần Xây dựng và Năng lượng VCP,Điện,Cập nhật kết quả XHTN,XHTN Công cụ nợ,A-,Ổn định,VCP12501,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-va-nang-luong-vcp-id3865.html,3865,FiinRatings,2026-09-25 14:05:53,2026-07-20
15/07/2026,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A+,Ổn định,,https://cms.fiinratings.vn//UploadFile/15-07-2026/VN_FiinRatings_VIB_Issuer_Surv04_2026_07_signed.pdf,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-qaoc-te-viet-naa-id4062.html,4062,FiinRatings,2026-09-25 14:05:53,2026-07-15
30/06/2026,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,https://cms.fiinratings.vn//UploadFile/30-06-2026/%5BVN%5DFiinRatings_Bao_cao_cap_nhat_XHTN_DIC_30062026.pdf,,https://fiinratings.vn/vi/ratings-fr/tong-cong-ty-co-phan-daa-tu-phat-trien-xay-dung-id2623.html,2623,FiinRatings,2026-09-25 14:05:53,2026-06-30
25/06/2026,Công ty Cổ Phần Dược Aikya,Dược phẩm và Y tế,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-duoc-aikya-id6760.html,6760,FiinRatings,2026-09-25 14:05:53,2026-06-25
23/06/2026,Công ty TNHH Verdant Vietnam Bravo,Điện,XHTN Lần đầu,XHTN Công cụ nợ,AAA,Ổn định,VEB12601,https://cms.fiinratings.vn//UploadFile/23-06-2026/VI_VerdantBravo_Bond_Rating_Jun2026_signed.pdf,https://cms.fiinratings.vn//UploadFile/23-06-2026/EN_VerdantBravo_Bond_Rating_Jun2026_signed.pdf,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-verdant-vietnaa-bravo-id2347099.html,2347099,FiinRatings,2026-09-25 14:05:53,2026-06-23
23/06/2026,Công ty TNHH Verdant Vietnam Crystal,Điện,XHTN Lần đầu,XHTN Công cụ nợ,AAA,Ổn định,VEV12601,https://cms.fiinratings.vn//UploadFile/23-06-2026/VI_VerdantCrystal_Bond_Rating_Jun2026_signed.pdf,https://cms.fiinratings.vn//UploadFile/23-06-2026/EN_VerdantCrystal_Bond_Rating_Jun2026_signed.pdf,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-verdant-vietnaa-crystal-id2625381.html,2625381,FiinRatings,2026-09-25 14:05:53,2026-06-23
15/06/2026,Công ty Cổ phần Xây dựng và Năng lượng VCP,Điện,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-va-nang-luong-vcp-id3865.html,3865,FiinRatings,2026-09-25 14:05:53,2026-06-15
11/06/2026,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AAA,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ngoại-thuong-viet-naa-id4143.html,4143,FiinRatings,2026-09-25 14:05:53,2026-06-11
11/06/2026,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Công cụ nợ,AAA,Ổn định,VCB12501,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ngoại-thuong-viet-naa-id4143.html,4143,FiinRatings,2026-09-25 14:05:53,2026-06-11
09/06/2026,Công ty TNHH Verdant Vietnam Bravo,Điện,XHTN Lần đầu,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn//UploadFile/09-06-2026/VI_VerdantBravo_Issuer_Rating_Release_June2026_signed.pdf,https://cms.fiinratings.vn//UploadFile/09-06-2026/EN_VerdantBravo_Issuer_Rating_Release_June2026_signed.pdf,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-verdant-vietnaa-bravo-id2347099.html,2347099,FiinRatings,2026-09-25 14:05:53,2026-06-09
09/06/2026,Công ty TNHH Verdant Vietnam Crystal,Điện,XHTN Lần đầu,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn//UploadFile/09-06-2026/VI_VerdantCrystal_Issuer_Rating_Release_June2026_signed.pdf,https://cms.fiinratings.vn//UploadFile/09-06-2026/EN_VerdantCrystal_Issuer_Rating_Release_Jun2026_signed.pdf,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-verdant-vietnaa-crystal-id2625381.html,2625381,FiinRatings,2026-09-25 14:05:53,2026-06-09
08/06/2026,Công ty Cổ phần Chứng khoán Quốc Gia,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn//UploadFile/08-06-2026/%5BVN%5D_FiinRatings_NSI_Surveillance_Rating_Report_June2026.pdf,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-qaoc-gia-id3518.html,3518,FiinRatings,2026-09-25 14:05:53,2026-06-08
08/06/2026,Công ty Cổ phần Năng lượng Tái tạo Trung Nam,Điện,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,CCC,Không thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nang-luong-tai-tạo-trang-naa-id12684.html,12684,FiinRatings,2026-09-25 14:05:53,2026-06-08
05/06/2026,Công ty Cổ phần Vinhomes,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,https://cms.fiinratings.vn//UploadFile/05-06-2026/VI_VHM_Surveillance_Jun2026_signed.pdf,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-vinhoaes-id3439.html,3439,FiinRatings,2026-09-25 14:05:53,2026-06-05
05/06/2026,Công Ty Cổ Phần Tập Đoàn Nhựa Bình Thuận,Nhựa,Cập nhật kết quả XHTN,XHTN Công cụ nợ,AAA,Ổn định,BP112501,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-nhua-binh-thaan-id556880.html,556880,FiinRatings,2026-09-25 14:05:53,2026-06-05
04/06/2026,Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,Nước và tiện ích,Cập nhật kết quả XHTN,XHTN Công cụ nợ,AAA,Ổn định,HBXCH2444001,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-nuoc-sạch-hoa-binh---xaan-mai-id1881003.html,1881003,FiinRatings,2026-09-25 14:05:53,2026-06-04
04/06/2026,Công ty Cổ phần Chứng khoán Kỹ Thương,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-ky-thuong-id3843.html,3843,FiinRatings,2026-09-25 14:05:53,2026-06-04
28/05/2026,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,XHTN Lần đầu,XHTN Công cụ nợ,BB+,Ổn định,VPI12603,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328,FiinRatings,2026-09-25 14:05:53,2026-05-28
27/05/2026,Công ty Cổ phần Chứng khoán Dầu khí,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,3658,FiinRatings,2026-09-25 14:05:53,2026-05-27
11/05/2026,Công ty TNHH Chứng khoán ACB,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-chung-khoan-acb-id2738.html,2738,FiinRatings,2026-09-25 14:05:53,2026-05-11
08/05/2026,Công ty Cổ phần Năng lượng Tái tạo Trung Nam,Điện,XHTN Lần đầu,XHTN Công cụ nợ,CCC,Không thuận lợi,TRE32602,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nang-luong-tai-tạo-trang-naa-id12684.html,12684,FiinRatings,2026-09-25 14:05:53,2026-05-08
08/05/2026,Công ty Cổ phần Năng lượng Tái tạo Trung Nam,Điện,XHTN Lần đầu,XHTN Công cụ nợ,CCC,Không thuận lợi,TRE32601,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nang-luong-tai-tạo-trang-naa-id12684.html,12684,FiinRatings,2026-09-25 14:05:53,2026-05-08
29/04/2026,Công ty Cổ phần Chứng khoán Vietcap,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-vietcap-id4089.html,4089,FiinRatings,2026-09-25 14:05:53,2026-04-29
25/04/2026,Công ty Tài Chính Trách Nhiệm Hữu Hạn Một Thành Viên Home Credit Việt Nam,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tai-chinh-trach-nhiea-hữa-hạn-mot-thanh-vien-hoae-credit-viet-naa-id593806.html,593806,FiinRatings,2026-09-25 14:05:53,2026-04-25
25/04/2026,Công ty Cổ phần Đầu tư Nam Long,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-naa-long-id3448.html,3448,FiinRatings,2026-09-25 14:05:53,2026-04-25
25/04/2026,Công ty Cổ phần Hoàng Anh Gia Lai,Nông nghiệp,XHTN Lần đầu,XHTN Công cụ nợ,A,Ổn định,HAG12601,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-hoang-anh-gia-lai-id3060.html,3060,FiinRatings,2026-09-25 14:05:53,2026-04-25
25/04/2026,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,2564,FiinRatings,2026-09-25 14:05:53,2026-04-25
17/04/2026,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,XHTN Lần đầu,XHTN Công cụ nợ,BB+,Ổn định,VPI12601,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328,FiinRatings,2026-09-25 14:05:53,2026-04-17
15/04/2026,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328,FiinRatings,2026-09-25 14:05:53,2026-04-15
15/04/2026,Công ty TNHH Mml Farm Nghệ An,Chăn nuôi,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-mal-fara-nghe-an-id7225.html,7225,FiinRatings,2026-09-25 14:05:53,2026-04-15
10/04/2026,Công ty Cổ phần Kinh doanh F88,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766,FiinRatings,2026-09-25 14:05:53,2026-04-10
08/04/2026,Công Ty TNHH Truyền Dẫn Nước Sạch Xuân Mai - Hà Nội,Nước và tiện ích,Cập nhật kết quả XHTN,XHTN Công cụ nợ,AAA,Ổn định,XMH12501,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-trayen-dan-nuoc-sạch-xaan-mai---ha-noi-id2176657.html,2176657,FiinRatings,2026-09-25 14:05:53,2026-04-08
08/04/2026,Công ty Cổ phần Vinhomes,Bất động sản,XHTN Lần đầu,XHTN Công cụ nợ,A,Ổn định,VHM12601,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-vinhoaes-id3439.html,3439,FiinRatings,2026-09-25 14:05:53,2026-04-08
07/04/2026,Công ty Cổ phần Chứng khoán APG,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB-,Không thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-apg-id2770.html,2770,FiinRatings,2026-09-25 14:05:53,2026-04-07
06/04/2026,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA-,Thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ky-thuong-viet-naa-id3842.html,3842,FiinRatings,2026-09-25 14:05:53,2026-04-06
03/04/2026,Công ty Cổ Phần Phát Triển Tn,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-tn-id6147.html,6147,FiinRatings,2026-09-25 14:05:53,2026-04-03
03/04/2026,Công ty Cổ Phần Phát Triển Tn,Bất động sản,Cập nhật kết quả XHTN,XHTN Công cụ nợ,BB-,Ổn định,TND12501,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-tn-id6147.html,6147,FiinRatings,2026-09-25 14:05:53,2026-04-03
29/03/2026,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-phat-trien-thanh-pho-hồ-chi-minh-id3101.html,3101,FiinRatings,2026-09-25 14:05:53,2026-03-29
25/03/2026,Tập đoàn Vingroup - Công ty CP,Đa ngành,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/tap-doan-vingroap---cong-ty-cp-id4400.html,4400,FiinRatings,2026-09-25 14:05:53,2026-03-25
16/03/2026,Ngân hàng Thương mại Cổ phần Nam Á,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-naa-a-id3362.html,3362,FiinRatings,2026-09-25 14:05:53,2026-03-16
09/03/2026,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-a-chaa-id2739.html,2739,FiinRatings,2026-09-25 14:05:53,2026-03-09
02/02/2026,Công ty Cổ phần Điện Gia Lai,Điện,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dien-gia-lai-id2964.html,2964,FiinRatings,2026-09-25 14:05:53,2026-02-02
26/01/2026,Công ty Cổ phần Chứng khoán DSC,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-dsc-id2648.html,2648,FiinRatings,2026-09-25 14:05:53,2026-01-26
21/01/2026,Công ty Cổ Phần Nhựa Hoa Sen,Nhựa,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nhua-hoa-sen-id1057.html,1057,FiinRatings,2026-09-25 14:05:53,2026-01-21
20/01/2026,Công ty Cổ phần Xây dựng và Năng lượng VCP,Điện,XHTN Lần đầu,XHTN Công cụ nợ,A-,Ổn định,VCP12501,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-va-nang-luong-vcp-id3865.html,3865,FiinRatings,2026-09-25 14:05:53,2026-01-20
15/01/2026,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-qaoc-te-viet-naa-id4062.html,4062,FiinRatings,2026-09-25 14:05:53,2026-01-15
10/01/2026,Công ty Cổ phần Vinhomes,Bất động sản,XHTN Lần đầu,XHTN Công cụ nợ,A,Ổn định,VHM12503,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-vinhoaes-id3439.html,3439,FiinRatings,2026-09-25 14:05:53,2026-01-10
31/12/2025,Công ty Cổ phần Chứng khoán Kỹ Thương,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-ky-thuong-id3843.html,3843,FiinRatings,2026-09-25 14:05:53,2025-12-31
30/12/2025,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/tong-cong-ty-co-phan-daa-tu-phat-trien-xay-dung-id2623.html,2623,FiinRatings,2026-09-25 14:05:53,2025-12-30
25/12/2025,Công ty Cổ Phần Dược Aikya,Dược phẩm và Y tế,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-duoc-aikya-id6760.html,6760,FiinRatings,2026-09-25 14:05:53,2025-12-25
